AREA,Population,Density
CONEY ISLAND,0,0
NORTH-EASTERN ISLANDS,40,1
PASIR RIS WAFER FAB PARK,10,2
GUL CIRCLE,10,3
LIM CHU KANG,60,3
PENJURU CRESCENT,10,3
RESERVOIR VIEW,10,3
SELETAR AEROSPACE PARK,10,3
TUAS BAY,10,3
TUAS PROMENADE,10,3
JURONG RIVER,10,4
LIU FANG,10,4
PIONEER SECTOR,10,4
SENOKO NORTH,10,4
TUAS VIEW,20,4
SAMULUN,10,5
SHIPYARD,10,5
TUKANG,10,5
CITY TERMINALS,20,6
GALI BATU,30,6
TUAS NORTH,20,6
PANDAN,10,8
JOO KOON,20,9
PANG SUA,20,9
TOH TUCK,20,10
SENOKO SOUTH,20,11
SERANGOON NORTH IND ESTATE,10,11
YIO CHU KANG,10,11
PORT,120,16
SINGAPORE GENERAL HOSPITAL,10,19
INTERNATIONAL BUSINESS PARK,10,21
MARINA CENTRE,20,23
PAYA LEBAR NORTH,30,23
KALLANG BAHRU,20,24
KIAN TECK,50,24
KALLANG WAY,40,42
KENT RIDGE,80,44
SENOKO WEST,40,44
BRAS BASAH,10,45
SELETAR,280,72
GREENWOOD PARK,100,78
ISTANA NEGARA,50,92
SINGAPORE POLYTECHNIC,120,127
NATIONAL UNIVERSITY OF S'PORE,240,137
LOYANG WEST,370,175
CITY HALL,130,183
TURF CLUB,680,207
RAFFLES PLACE,40,212
MOUNT PLEASANT,700,223
XILIN,1810,231
PHILLIP,10,254
LAKESIDE (LEISURE),810,261
CHANGI WEST,1350,278
NEE SOON,910,412
CLARKE QUAY,120,414
QUEENSWAY,280,443
ONE NORTH,950,463
SENTOSA,2350,478
SOMERSET,170,516
FORT CANNING,210,545
CHANGI POINT,590,592
KAMPONG GLAM,120,700
ANSON,80,775
RIDOUT,1560,799
BOAT QUAY,150,933
NATURE RESERVE,4000,966
JURONG GATEWAY,570,1028
BOULEVARD,530,1151
CENTRAL SUBZONE,1330,1242
NEWTON CIRCUS,310,1451
SEMBAWANG STRAITS,2400,1558
SWISS CLUB,5950,1716
MARITIME SQUARE,4640,1717
PATERSON,310,1791
TYERSALL,4140,1918
SPRINGLEAF,4440,2010
KAMPONG BUGIS,1590,2144
LOYANG EAST,2120,2185
DHOBY GHAUT,500,2253
LOWER SELETAR,19160,2267
YIO CHU KANG EAST,4400,2363
TAGORE,7960,2387
MALCOLM,3230,2445
MACKENZIE,140,2514
BUKIT MERAH,1040,2526
CECIL,510,2594
PEOPLE'S PARK,270,2899
BAYSHORE,7890,3094
TANGLIN,530,3163
SELEGIE,160,3224
LEEDON PARK,6710,3274
DUNEARN,4090,3325
BUGIS,950,3391
HOLLAND ROAD,11560,3407
HILLCREST,9900,3755
PASIR PANJANG 2,3270,3833
GOMBAK,9900,4026
WOODLEIGH,3350,4119
GOODWOOD PARK,1470,4185
WENYA,8280,4193
PASIR PANJANG 1,4850,4471
PASIR RIS PARK,7960,4629
TANJONG RHU,11460,4707
NORTH COAST,11590,4729
CORONATION ROAD,7180,5038
NASSIM,10610,5062
TEBAN GARDENS,17780,5578
CHATSWORTH,7580,5631
SUNSET WAY,5520,5722
DAIRY FARM,7130,5769
FABER,5490,5790
TANJONG PAGAR,870,5979
MOUNTBATTEN,10260,5987
ORANGE GROVE,2030,6038
BIDADARI,3760,6568
SELETAR HILLS,15480,6642
SIGLAP,7320,6668
YISHUN CENTRAL,2960,6783
ONE TREE HILL,2340,6867
KHATIB,9880,6895
KAMPONG UBI,12960,6901
MONK'S HILL,1200,6988
LORONG CHUAN,8690,7364
TAI SENG,13300,7405
ROBERTSON QUAY,3770,7442
BENCOOLEN,1290,7559
JOO SENG,8100,7662
MOULMEIN,10400,7718
SEMBAWANG HILLS,6990,7814
VICTORIA,1700,7935
UPPER THOMSON,31090,8054
OXLEY,1620,8098
DOVER,11280,8135
FRANKEL,35010,8147
BUKIT BATOK SOUTH,14730,8154
ANAK BUKIT,22640,8178
KATONG,9450,8758
SEMBAWANG SPRINGS,9630,8759
CRAWFORD,7930,9320
ULU PANDAN,11470,9337
INSTITUTION HILL,3750,9553
PEARL'S HILL,5430,9700
CAIRNHILL,4480,9901
ALEXANDRA NORTH,2930,9976
HILLVIEW,19960,10026
CHINA SQUARE,1340,10075
LEONIE HILL,3720,10095
TAMPINES NORTH,25680,10098
KAMPONG JAVA,10430,10203
NORTHSHORE,14050,10331
FARRER PARK,2570,10368
MOUNT EMILY,2030,10464
BEDOK RESERVOIR,25390,10671
ADMIRALTY,13600,10780
HOUGANG CENTRAL,4820,10912
TANGLIN HALT,5520,10969
LITTLE INDIA,3100,11139
GUILIN,12930,11916
FARRER COURT,6700,11991
SERANGOON GARDEN,36350,12024
EVERTON PARK,7650,12034
GEYLANG EAST,31440,12190
KAKI BUKIT,35880,12723
ALEXANDRA HILL,13220,12830
KOVAN,25150,12907
TELOK BLANGAH DRIVE,19390,13328
LAVENDER,10160,13405
TOA PAYOH WEST,14120,13613
WEST COAST,10100,13978
SIMEI,39050,14054
GEYLANG BAHRU,10650,14480
MANDAI ESTATE,2080,14531
ALJUNIED,43190,14594
DEPOT ROAD,6500,14689
MARYMOUNT,29260,14897
KEMBANGAN,36340,15222
BISHAN EAST,27780,15481
ANG MO KIO TOWN CENTRE,4960,15653
LORONG 8 TOA PAYOH,6900,15694
BEDOK SOUTH,48910,16318
