SUBZONE_N,luas
ADMIRALTY,1261648.71
AIRPORT ROAD,494503.385
ALEXANDRA HILL,1030378.85
ALEXANDRA NORTH,293706.405
ALJUNIED,2959365.31
ANAK BUKIT,2768350.06
ANCHORVALE,1499108.22
ANG MO KIO TOWN CENTRE,316881.999
ANSON,103238.392
BALESTIER,1926621.75
BANGKIT,763182.684
BAYFRONT SUBZONE,521200.325
BAYSHORE,2550451.25
BEDOK NORTH,3203653.15
BEDOK RESERVOIR,2379325.1
BEDOK SOUTH,2997295.97
BENCOOLEN,170664.275
BENDEMEER,1376829.69
BENOI SECTOR,2042616.05
BIDADARI,572501.856
BISHAN EAST,1794461.01
BOAT QUAY,160807.487
BOON KENG,410994.396
BOON LAY PLACE,906313.203
BOON TECK,418657.334
BOULEVARD,460550.42
BRADDELL,446241.792
BRAS BASAH,223206.527
BRICKWORKS,1225670.5
BUGIS,280174.787
BUKIT BATOK CENTRAL,800296.897
BUKIT BATOK EAST,380201.203
BUKIT BATOK SOUTH,1806550.11
BUKIT BATOK WEST,526382.114
BUKIT HO SWEE,551731.992
BUKIT MERAH,411722.734
CAIRNHILL,452471.804
CECIL,196619.817
CENTRAL SUBZONE,1070723.11
CENTRAL WATER CATCHMENT,37147840.4
CHANGI AIRPORT,35095728.9
CHANGI BAY,1829795.74
CHANGI POINT,995937.852
CHANGI WEST,4848485.81
CHATSWORTH,1346152.86
CHENG SAN,955710.137
CHIN BEE,1287944
CHINA SQUARE,133006.92
CHINATOWN,587222.742
CHOA CHU KANG CENTRAL,1097296.39
CHOA CHU KANG NORTH,1088635.52
CHONG BOON,1078622.18
CITY HALL,710568.544
CITY TERMINALS,3449640.7
CLARKE QUAY,290184.642
CLEMENTI CENTRAL,748042.167
CLEMENTI NORTH,991038.547
CLEMENTI WEST,697500.678
CLEMENTI WOODS,1053492.3
CLIFFORD PIER,261843.958
COMMONWEALTH,310513.567
COMPASSVALE,1093212.25
CONEY ISLAND,1200801.68
CORONATION ROAD,1425082.45
CRAWFORD,850853.635
DAIRY FARM,1235900.26
DEFU INDUSTRIAL PARK,1974368.99
DEPOT ROAD,442502.614
DHOBY GHAUT,221973.336
DOVER,1386642.03
DUNEARN,1229894.28
EAST COAST,591777.752
EVERTON PARK,635704.013
FABER,948157.237
FAJAR,668453.614
FARRER COURT,558760.368
FARRER PARK,247887.642
FERNVALE,2391081.2
FLORA DRIVE,944993.06
FORT CANNING,385093.138
FRANKEL,4297130.39
GALI BATU,5186120.02
GEYLANG BAHRU,735501.904
GEYLANG EAST,2579083.72
GHIM MOH,485046.59
GOMBAK,2459094.03
GOODWOOD PARK,351242.322
GREENWOOD PARK,1281295.48
GUILIN,1085077.87
GUL BASIN,1769481.69
GUL CIRCLE,3260372.23
HENDERSON HILL,595428.783
HILLCREST,2636482.98
HILLVIEW,1990785.46
HOLLAND DRIVE,459546.055
HOLLAND ROAD,3392894.25
HONG KAH,1793456.59
HONG KAH NORTH,859177.226
HOUGANG CENTRAL,441733.137
HOUGANG EAST,842666.888
HOUGANG WEST,1328874.83
INSTITUTION HILL,392563.341
INTERNATIONAL BUSINESS PARK,485021.197
ISTANA NEGARA,543483.666
JELEBU,911207.015
JOO KOON,2349362.82
JOO SENG,1057164.53
JURONG GATEWAY,554622.293
JURONG ISLAND AND BUKOM,36707508.2
JURONG PORT,2464846.57
JURONG RIVER,2560988.3
JURONG WEST CENTRAL,1404529.31
KAKI BUKIT,2820166.66
KALLANG BAHRU,839488.627
KALLANG WAY,963198.339
KAMPONG BUGIS,741437.801
KAMPONG GLAM,171334.355
KAMPONG JAVA,1022292.2
KAMPONG TIONG BAHRU,365333.517
KAMPONG UBI,1878090.19
KANGKAR,1007408.29
KATONG,1078990.45
KEAT HONG,1143810.97
KEBUN BAHRU,1046416.7
KEMBANGAN,2387272.62
KENT RIDGE,1826847.54
KHATIB,1432913.01
KIAN TECK,2098164.61
KIM KEAT,369770.376
KOVAN,1948612.08
KRANJI,3652024.99
LAKESIDE,3108013.43
LAVENDER,757907.438
LEEDON PARK,2049550.45
LEONIE HILL,368482.984
LIM CHU KANG,17494814.3
LITTLE INDIA,278303.549
LIU FANG,2338897.85
LORONG 8 TOA PAYOH,439646.652
LORONG AH SOO,1515532.35
LORONG CHUAN,1180125.9
LORONG HALUS,1333531.35
LORONG HALUS NORTH,924864.353
LOWER SELETAR,8453311.74
LOYANG EAST,970062.036
LOYANG WEST,2114777.41
MACKENZIE,55681.2508
MACPHERSON,1263408.33
MALCOLM,1321089.85
MANDAI EAST,7235808.37
MANDAI ESTATE,143137.916
MANDAI WEST,4387129.69
MARGARET DRIVE,1026467.21
MARINA CENTRE,886954.632
MARINA EAST,1844059.94
MARINA EAST (MP),1590338.67
MARINA SOUTH,1630378.63
MARINE PARADE,1160015.66
MARITIME SQUARE,2701633.96
MARYMOUNT,1964134.37
MATILDA,1418282.57
MAXWELL,63664.9801
MEI CHIN,748683.729
MIDVIEW,936415.026
MONK'S HILL,171720.612
MOULMEIN,1347455.89
MOUNT EMILY,193992.288
MOUNT PLEASANT,3142950.13
MOUNTBATTEN,1713621.26
NASSIM,2096085.07
NATIONAL UNIVERSITY OF S'PORE,1755948.59
NATURE RESERVE,4141318.49
NEE SOON,2206695.3
NEWTON CIRCUS,213581.636
NORTH COAST,2450781.47
NORTH-EASTERN ISLANDS,67249709.1
NORTHLAND,1511000.28
NORTHSHORE,1359998.46
ONE NORTH,2051651.66
ONE TREE HILL,340743.297
ORANGE GROVE,336221.469
OXLEY,200052.66
PANDAN,1312920.18
PANG SUA,2175375.16
PASIR PANJANG 1,1084791.54
PASIR PANJANG 2,853206.223
PASIR RIS CENTRAL,1511481.28
PASIR RIS DRIVE,1639661.21
PASIR RIS PARK,1719696.91
PASIR RIS WAFER FAB PARK,5325406.56
PASIR RIS WEST,1583434.65
PATERSON,173121.768
PAYA LEBAR EAST,2259234.07
PAYA LEBAR NORTH,1287383.93
PAYA LEBAR WEST,609893.522
PEARL'S HILL,559816.232
PEI CHUN,411403.956
PENG SIANG,862734.648
PENJURU CRESCENT,3049711.84
PEOPLE'S PARK,93140.4349
PHILLIP,39437.9571
PIONEER SECTOR,2795981.16
PLAB,7034793.24
PORT,7601886.72
POTONG PASIR,639143.336
PULAU PUNGGOL BARAT,2050050.02
PULAU PUNGGOL TIMOR,1259741.92
PULAU SELETAR,1611278.16
PUNGGOL CANAL,1265916.56
PUNGGOL FIELD,1378707.93
PUNGGOL TOWN CENTRE,1264383.02
QUEENSWAY,631644.087
RAFFLES PLACE,188767.502
REDHILL,387429.513
RESERVOIR VIEW,3284122.63
RIDOUT,1951865.51
RIVERVALE,1569032.14
ROBERTSON QUAY,506588.963
ROCHOR CANAL,120171.272
SAFTI,1524540.68
SAMULUN,1940683.3
SAUJANA,674991.124
SELEGIE,49626.0312
SELETAR,3916066.5
SELETAR AEROSPACE PARK,3621839.71
SELETAR HILLS,2330682.53
SEMAKAU,4963781.23
SEMBAWANG CENTRAL,962437.306
SEMBAWANG EAST,758123.474
SEMBAWANG HILLS,894515.95
SEMBAWANG NORTH,1394865.6
